DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-05,0.05000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-06,0.03000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-07,0.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-08,0.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-09,0.03000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-10,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-11,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2014-12,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-01,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-02,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-03,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-04,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-05,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-06,0.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-07,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-08,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-09,0.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2015-10,0.01000,
